"","date","series_id","value","realtime_start","realtime_end"
"1",1953-01-01,"CWSR0000SAH2",22.1,2023-06-14,2023-06-14
"2",1953-02-01,"CWSR0000SAH2",22.1,2023-06-14,2023-06-14
"3",1953-03-01,"CWSR0000SAH2",22.2,2023-06-14,2023-06-14
"4",1953-04-01,"CWSR0000SAH2",22.3,2023-06-14,2023-06-14
"5",1953-05-01,"CWSR0000SAH2",22.3,2023-06-14,2023-06-14
"6",1953-06-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"7",1953-07-01,"CWSR0000SAH2",22.5,2023-06-14,2023-06-14
"8",1953-08-01,"CWSR0000SAH2",22.5,2023-06-14,2023-06-14
"9",1953-09-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"10",1953-10-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"11",1953-11-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"12",1953-12-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"13",1954-01-01,"CWSR0000SAH2",22.5,2023-06-14,2023-06-14
"14",1954-02-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"15",1954-03-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"16",1954-04-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"17",1954-05-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"18",1954-06-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"19",1954-07-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"20",1954-08-01,"CWSR0000SAH2",22.4,2023-06-14,2023-06-14
"21",1954-09-01,"CWSR0000SAH2",22.5,2023-06-14,2023-06-14
"22",1954-10-01,"CWSR0000SAH2",22.5,2023-06-14,2023-06-14
"23",1954-11-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"24",1954-12-01,"CWSR0000SAH2",22.6,2023-06-14,2023-06-14
"25",1955-01-01,"CWSR0000SAH2",22.7,2023-06-14,2023-06-14
"26",1955-02-01,"CWSR0000SAH2",22.7,2023-06-14,2023-06-14
"27",1955-03-01,"CWSR0000SAH2",22.8,2023-06-14,2023-06-14
"28",1955-04-01,"CWSR0000SAH2",22.8,2023-06-14,2023-06-14
"29",1955-05-01,"CWSR0000SAH2",23,2023-06-14,2023-06-14
"30",1955-06-01,"CWSR0000SAH2",23,2023-06-14,2023-06-14
"31",1955-07-01,"CWSR0000SAH2",23,2023-06-14,2023-06-14
"32",1955-08-01,"CWSR0000SAH2",23.1,2023-06-14,2023-06-14
"33",1955-09-01,"CWSR0000SAH2",23.1,2023-06-14,2023-06-14
"34",1955-10-01,"CWSR0000SAH2",23.2,2023-06-14,2023-06-14
"35",1955-11-01,"CWSR0000SAH2",23.2,2023-06-14,2023-06-14
"36",1955-12-01,"CWSR0000SAH2",23.2,2023-06-14,2023-06-14
"37",1956-01-01,"CWSR0000SAH2",23.3,2023-06-14,2023-06-14
"38",1956-02-01,"CWSR0000SAH2",23.3,2023-06-14,2023-06-14
"39",1956-03-01,"CWSR0000SAH2",23.3,2023-06-14,2023-06-14
"40",1956-04-01,"CWSR0000SAH2",23.4,2023-06-14,2023-06-14
"41",1956-05-01,"CWSR0000SAH2",23.5,2023-06-14,2023-06-14
"42",1956-06-01,"CWSR0000SAH2",23.5,2023-06-14,2023-06-14
"43",1956-07-01,"CWSR0000SAH2",23.6,2023-06-14,2023-06-14
"44",1956-08-01,"CWSR0000SAH2",23.7,2023-06-14,2023-06-14
"45",1956-09-01,"CWSR0000SAH2",23.7,2023-06-14,2023-06-14
"46",1956-10-01,"CWSR0000SAH2",23.7,2023-06-14,2023-06-14
"47",1956-11-01,"CWSR0000SAH2",23.8,2023-06-14,2023-06-14
"48",1956-12-01,"CWSR0000SAH2",23.9,2023-06-14,2023-06-14
"49",1957-01-01,"CWSR0000SAH2",24,2023-06-14,2023-06-14
"50",1957-02-01,"CWSR0000SAH2",24,2023-06-14,2023-06-14
"51",1957-03-01,"CWSR0000SAH2",24.1,2023-06-14,2023-06-14
"52",1957-04-01,"CWSR0000SAH2",24.1,2023-06-14,2023-06-14
"53",1957-05-01,"CWSR0000SAH2",24.2,2023-06-14,2023-06-14
"54",1957-06-01,"CWSR0000SAH2",24.2,2023-06-14,2023-06-14
"55",1957-07-01,"CWSR0000SAH2",24.3,2023-06-14,2023-06-14
"56",1957-08-01,"CWSR0000SAH2",24.4,2023-06-14,2023-06-14
"57",1957-09-01,"CWSR0000SAH2",24.4,2023-06-14,2023-06-14
"58",1957-10-01,"CWSR0000SAH2",24.3,2023-06-14,2023-06-14
"59",1957-11-01,"CWSR0000SAH2",24.5,2023-06-14,2023-06-14
"60",1957-12-01,"CWSR0000SAH2",24.4,2023-06-14,2023-06-14
"61",1958-01-01,"CWSR0000SAH2",24.5,2023-06-14,2023-06-14
"62",1958-02-01,"CWSR0000SAH2",24.5,2023-06-14,2023-06-14
"63",1958-03-01,"CWSR0000SAH2",24.6,2023-06-14,2023-06-14
"64",1958-04-01,"CWSR0000SAH2",24.6,2023-06-14,2023-06-14
"65",1958-05-01,"CWSR0000SAH2",24.6,2023-06-14,2023-06-14
"66",1958-06-01,"CWSR0000SAH2",24.7,2023-06-14,2023-06-14
"67",1958-07-01,"CWSR0000SAH2",24.8,2023-06-14,2023-06-14
"68",1958-08-01,"CWSR0000SAH2",24.8,2023-06-14,2023-06-14
"69",1958-09-01,"CWSR0000SAH2",24.9,2023-06-14,2023-06-14
"70",1958-10-01,"CWSR0000SAH2",24.9,2023-06-14,2023-06-14
"71",1958-11-01,"CWSR0000SAH2",24.9,2023-06-14,2023-06-14
"72",1958-12-01,"CWSR0000SAH2",24.9,2023-06-14,2023-06-14
"73",1959-01-01,"CWSR0000SAH2",25,2023-06-14,2023-06-14
"74",1959-02-01,"CWSR0000SAH2",25.1,2023-06-14,2023-06-14
"75",1959-03-01,"CWSR0000SAH2",25.2,2023-06-14,2023-06-14
"76",1959-04-01,"CWSR0000SAH2",25.2,2023-06-14,2023-06-14
"77",1959-05-01,"CWSR0000SAH2",25.2,2023-06-14,2023-06-14
"78",1959-06-01,"CWSR0000SAH2",25.2,2023-06-14,2023-06-14
"79",1959-07-01,"CWSR0000SAH2",25.3,2023-06-14,2023-06-14
"80",1959-08-01,"CWSR0000SAH2",25.3,2023-06-14,2023-06-14
"81",1959-09-01,"CWSR0000SAH2",25.4,2023-06-14,2023-06-14
"82",1959-10-01,"CWSR0000SAH2",25.4,2023-06-14,2023-06-14
"83",1959-11-01,"CWSR0000SAH2",25.4,2023-06-14,2023-06-14
"84",1959-12-01,"CWSR0000SAH2",25.6,2023-06-14,2023-06-14
"85",1960-01-01,"CWSR0000SAH2",25.6,2023-06-14,2023-06-14
"86",1960-02-01,"CWSR0000SAH2",25.8,2023-06-14,2023-06-14
